Status,Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project
,Planachaux,1925,46.444143,7.054783,,,,,,,,No Project
,Monts Chevreuils,1749,46.434453,7.084135,,,,,,,,No Project
,Pointe de Cray,2070,46.486979,7.100381,,,,,,,,No Project
,Malatraix,1768,46.394284,6.964194,,,T3,,,,,No Project
,Malatraix,1768,46.394284,6.964194,Summer,Hike,T3,8.5,2.7,1101,Malatraix,No Project
,Rocher du Midi,2096,46.4438,7.153312,Spring,Hike,T3,11.1,5,1202,Rocher_du_Midi,No Project
,Rellerligrat,1843,46.511325,7.263639,Spring,Hike,T2,28,9.5,1750,Gastlosen_Saanen,No Project
,Hugeligrat,1898,46.519712,7.265653,Spring,Hike,T2,28,9.5,1750,Gastlosen_Saanen,No Project
,Schneitgrat,1961,,,Spring,Hike,T2,28,9.5,1750,Gastlosen_Saanen,No Project
,Col de la Forcla,1660,46.526894,7.222768,Spring,Hike,T2,28,9.5,1750,Gastlosen_Saanen,No Project
,Pertet à Bovey,1794,46.535182,7.210872,Spring,Hike,T2,28,9.5,1750,Gastlosen_Saanen,No Project
,Wolfs Ort,1915,46.567202,7.263634,Spring,Hike,T4,16.5,2 days,1300,North_Gastlosen,No Project
,Wandflue,2134,46.563427,7.259731,Spring,Hike,T4,16.5,2 days,1300,North_Gastlosen,No Project
,Gratflue,1936,46.588627,7.284783,Spring,Hike,T4,16.5,2 days,1300,North_Gastlosen,No Project
to do,Grand Chavalard,2899,46.178689,7.113116,,,,,,,,No Project
,Dent du Bourgo,1908,46.575584,7.139689,Autumn,Hike,T3,11.7,3.5,799,Dent_de_Bourgo,No Project
,Dent du Chamois,1839,46.584456,7.130116,Summer,Hike,T4,12.2,3.5,1046,Dent_du_Chamois_Dent_de_Broc,No Project
,Dent de Broc,1829,46.588574,7.12778,Summer,Hike,T4,12.2,3.5,1046,Dent_du_Chamois_Dent_de_Broc,No Project
,Crête de Chaux Commun,2110,46.228891,7.072837,Winter,Ski,2.3 / E1 PD+ / S3,11.6,5.5,1162,Crête_de_Chaux_Commun,No Project
,Lac de Salanfe / Col du Jorat,2212,46.150301,6.985478,Summer,Trail running,T2,15.5,2.2,941,Lac_de_Salanfe_col_du_Jorat,No Project
to do,Haute Cime (Dents du Midi),3258,46.161059,6.922985,,,,,,,,No Project
,Tour Sallière,3220,46.126953,6.924723,Summer,Hike,T6/PD,22.6,8,1580,Tour_Sallière,No Project
,Pic de Tenneverge,2 989,46.0941472,6.8793647,Summer,Hike,T5/PD-,20.1,5.6,1513,Pic_de_Tenneverge_,No Project
,Bel oiseau,2 631,46.0788684,6.9369428,Summer,Hike,T2,9.7,4,742,Bel_Oiseau,No Project
,Aiguille du Van,2578,46.059465,6.918862,Summer,Mountaineering,AD,8.8,4,800,Perrons_de_Vallorcine,No Project
,Grand Perron,2673,46.0581517,6.9158193,Summer,Mountaineering,AD,8.8,4,800,Perrons_de_Vallorcine,No Project
,Pain de Sucre,2646,46.05471,6.913156,Summer,Mountaineering,AD,8.8,4,800,Perrons_de_Vallorcine,No Project
,Pointe de Vouilloz,2672,46.0555064,6.9141059,Summer,Mountaineering,AD,8.8,4,800,Perrons_de_Vallorcine,No Project
,Pointe de l'Ifala,2651,46.0541001,6.9110259,Summer,Mountaineering,AD,8.8,4,800,Perrons_de_Vallorcine,No Project
to do,Üssers Barrhorn,3610,46.155913,7.73409,,,,,,,,No Project
to do,Geltenhorn,3065,46.34633,7.334613,,,,,,,,No Project
to do,Arpelistock,3036,46.34388,7.315242,,,,,,,,No Project
to do,Wildhorn,3248,46.35594,7.362221,,,,,,,,No Project
to do,Le Pleureur,3703,46.016289,7.369109,,,,,,,,No Project
,La Haute Corde,2325,46.27708,7.144991,Autumn,Hike,T5,20.1,6.5,1900,Petit_tour_entre_Muverans_et_l_Argentine,No Project
,Sex des branlettes,2620,46.262477,7.155318,Autumn,Hike,T5,20.1,6.5,1900,Petit_tour_entre_Muverans_et_l_Argentine,No Project
,Gros Sex,2418,46.257798,7.145759,Autumn,Hike,T5,20.1,6.5,1900,Petit_tour_entre_Muverans_et_l_Argentine,No Project
,Dent de Valerette,2058,46.207373,6.952334,Winter,Ski,3.1 / E1 AD- / S3,8,2.5,958,Valerette,No Project
,La tête à Josué,2131,46.404576,7.169188,Winter,Ski,2.2 / E1 PD / S3,11.1,3.3,1028,La_Tête_à_Josué_,No Project
,Pic de Chaussy,2351,46.377058,7.112749,Winter,Ski,2.2 / PD,8.6,2.5,774,Pic_Chaussy,No Project
,Le folly,1730,46.47997,6.95161,Winter,Ski,1.3 / E1 F / S2,7.7,2.5,768,Folly,No Project
,Pointe de Chemo,2626,46.223548,7.146005,Winter,Ski,3.1 / E2 PD+ / S3,11,2.9,1144,Pointe_de_chemo,No Project
,Les Louèrettes,3068,46.115301,7.355588,Winter,Ski,2.3 / E1 PD+ / S3,9.6,6.3,1531,Les_Louerettes,No Project
,Six Blanc (Orsière),2445,46.037486,7.185187,Winter,Ski,2.3 / E1 PD+ / S3,11.5,3,981,Six_Blanc(Orsière),No Project
,La dotse,2492,45.899331,7.102017,Winter,Ski,2.3 / E1 PD / S3,16,4,1396,Dotse_et_Tête_de_Ferret,No Project
,Tête de Ferret,2714,45.895189,7.07655,Winter,Ski,2.3 / E1 PD+ / S3,16,4,1396,Dotse_et_Tête_de_Ferret,No Project
,Aiguille des Angroniettes,2943,45.871294,7.09374,Winter,Ski,3.1 / E1 AD- / S3,19.8,5,1260,Angroniettes_&_Combette,No Project
,Pointe de Combette,2761,45.875878,7.095419,Winter,Ski,3.1 / E1 AD- / S3,19.8,5,1260,Angroniettes_&_Combette,No Project
